doctor_id,first_name,last_name,age,email,specialization,graduation_year,university_grade,educational_degree,hire_year,years_of_experience,rating_avg,salary,gender
10,Holly,Smith,87,wmason@example.org,ICU,1981,A,Master,2023,11,4.28,8000.47,female
11,John,Williams,38,donna72@example.net,Emergency,2005,D,Master,2024,23,2.25,53154.6,male
29,Kyle,White,74,robertking@example.net,Orthopedics,2011,E,Bachelor,2023,11,2.48,55341.24,male
69,Dale,Patterson,40,jacobturner@example.net,Oncology,1988,E,Master,2022,35,3.48,9387.66,male
74,Vickie,Martin,41,bakertimothy@example.org,Neurology,1988,A,Bachelor,2024,22,4.43,86703.28,female
88,Julie,Cook,44,ericawood@example.net,Neurology,2007,E,Bachelor,2022,18,4.87,63605.98,female
121,Danielle,Howard,97,russellgregory@example.com,Orthopedics,2007,C,Bachelor,2025,17,4.03,71709.9,male
140,Roberto,Reed,55,yenglish@example.net,Cardiology,2014,A,Master,2023,3,4.87,59857.51,male
144,Randall,Thomas,75,criley@example.net,Oncology,1994,C,PhD,2023,40,3.47,14029.94,male
167,Jennifer,Key,61,lcharles@example.org,Dermatology,1982,D,Master,2025,33,4.35,97115.82,female
171,Matthew,Glenn,78,brewershelly@example.org,Pharmacy,2006,A,Bachelor,2025,21,3.47,30476.48,male
183,Deborah,Chen,76,mark84@example.net,Pediatrics,2020,A,PhD,2022,9,3.44,51329.4,female
190,Barbara,Sloan,66,lucasoscar@example.net,Orthopedics,2009,B,Master,2024,30,4.86,18900.89,male
196,Timothy,Hale,90,yhernandez@example.org,Surgery,2014,B,PhD,2022,23,2.37,40454.66,male
211,Kathleen,Rodriguez,34,ericbrooks@example.org,Dermatology,2021,D,Master,2022,28,2.16,10981.51,male
259,Jennifer,Anderson,50,sarah42@example.org,Neurology,1987,B,PhD,2022,35,3.74,52927.28,female
261,Benjamin,Phillips,46,stephen92@example.net,Neurology,1987,E,PhD,2021,25,4.33,56690.44,male
265,Katrina,Rodriguez,51,sarah04@example.org,Pediatrics,2011,D,PhD,2023,14,2.03,23968.18,male
279,Brian,Gomez,28,atkinsondavid@example.com,Emergency,1990,E,Master,2021,31,4.43,55023.28,female
282,Tricia,Baker,61,smitchell@example.net,Laboratory,2015,C,PhD,2021,9,2.06,89191.85,male
296,Julie,Craig,87,russellrobert@example.net,Laboratory,2010,C,Bachelor,2024,18,1.94,81447.5,female
302,Makayla,Erickson,33,aprilcooper@example.com,Cardiology,1989,C,Bachelor,2023,22,1.45,85112.49,male
312,Eric,Morales,80,christinawalsh@example.org,Emergency,2003,A,Bachelor,2023,29,2.77,83769.23,male
324,Misty,Boone,66,simonstephen@example.net,Laboratory,2000,C,Master,2023,13,1.6,77016.49,female
349,Jacob,Obrien,68,dakota23@example.net,Laboratory,2010,C,Bachelor,2023,14,2.52,32889.84,female
350,Ricky,Norris,60,ocarter@example.com,Laboratory,2005,C,Bachelor,2025,4,4.64,75026.87,male
354,Katie,Pugh,84,ealvarez@example.com,Radiology,1995,B,Master,2024,29,1.67,4067.83,male
378,Megan,Thomas,65,tyler09@example.org,Emergency,2019,E,Bachelor,2021,39,4.11,29241.75,male
